TripID,TripDistance,FareAmount,RideCategory,SurgePricing,CustomerRating,PeakHour,Revenue,RideDemand,WaitTime,DriverRating,CancellationRate
1001,20.99,98.23,Premium,1.75,4.06,Non-Peak,103.11,46,9.8,4.68,0.046
1002,20.23,43.15,Economy,1.0,4.57,Non-Peak,42.83,53,6.4,4.15,0.031
1003,6.97,10.04,Shared,1.0,4.35,Peak,17.87,143,6.6,4.81,0.0
1004,13.97,43.26,Premium,1.0,4.85,Peak,54.41,115,4.4,4.31,0.039
1005,15.74,47.7,Economy,1.25,5.0,Peak,52.77,66,8.8,4.74,0.051
1006,21.89,49.99,Shared,1.0,4.32,Non-Peak,52.05,47,5.9,4.55,0.026
1007,15.67,78.96,Premium,1.5,4.24,Peak,88.64,148,5.7,4.14,0.013
1008,11.2,53.47,Premium,1.25,4.63,Peak,60.81,96,4.7,4.46,0.025
1009,10.29,145.0,Economy,1.0,5.0,Peak,154.94,108,6.0,4.66,0.048
1010,11.51,54.45,Economy,1.75,4.05,Non-Peak,57.24,55,11.0,4.73,0.018
1011,16.82,50.88,Economy,1.25,4.63,Peak,60.98,120,5.6,4.51,0.035
1012,21.89,50.02,Shared,1.0,5.0,Non-Peak,49.76,30,7.0,5.0,0.012
1013,12.17,44.52,Premium,1.0,4.19,Non-Peak,45.76,87,4.2,4.85,0.042
1014,7.32,21.58,Shared,1.0,4.29,Peak,28.95,149,3.9,4.47,0.02
1015,7.06,19.17,Economy,1.0,4.53,Non-Peak,19.38,46,4.5,4.78,0.036
1016,19.03,51.12,Economy,1.0,4.5,Peak,54.43,134,3.3,5.0,0.038
1017,20.69,95.84,Premium,1.75,4.62,Non-Peak,100.69,30,9.8,5.0,0.088
1018,3.97,15.13,Economy,1.1,4.68,Non-Peak,20.8,73,8.5,4.18,0.031
1019,3.06,20.12,Shared,1.0,4.15,Non-Peak,21.45,79,10.2,4.27,0.036
1020,15.47,61.68,Premium,1.25,4.71,Peak,69.39,102,5.3,5.0,0.018
1021,4.94,35.19,Premium,1.1,4.45,Non-Peak,37.26,44,9.4,4.23,0.052
1022,20.88,89.5,Economy,1.75,4.74,Non-Peak,95.01,21,10.1,4.15,0.049
1023,8.79,36.83,Shared,1.5,4.3,Non-Peak,38.64,91,7.0,4.4,0.042
1024,4.88,15.08,Shared,1.1,4.44,Non-Peak,17.34,46,7.8,4.68,0.034
1025,23.14,67.23,Premium,1.0,4.8,Non-Peak,69.96,85,6.0,4.52,0.007
1026,5.39,30.6,Economy,2.0,4.51,Peak,39.45,91,8.9,4.35,0.073
1027,8.19,30.49,Economy,1.25,4.69,Peak,40.79,110,5.4,4.35,0.055
1028,5.11,25.02,Economy,1.75,3.92,Non-Peak,25.61,83,6.1,4.34,0.064
1029,4.21,16.92,Economy,1.0,4.8,Peak,21.56,144,2.1,4.29,0.006
1030,2.0,30.44,Premium,1.5,4.19,Peak,39.78,91,8.2,5.0,0.048
1031,2.8,27.42,Premium,1.25,4.63,Non-Peak,28.44,80,6.3,4.64,0.051
1032,5.6,14.18,Shared,1.0,4.25,Non-Peak,18.0,39,6.1,4.82,0.002
1033,2.75,13.97,Economy,1.1,4.74,Peak,21.41,119,5.3,4.4,0.018
1034,15.39,47.34,Economy,1.25,4.34,Non-Peak,49.9,74,8.1,4.49,0.053
1035,17.5,47.24,Economy,1.0,4.29,Peak,55.71,64,6.7,4.34,0.034
1036,10.75,24.19,Economy,1.1,4.81,Non-Peak,26.86,30,6.6,3.75,0.04
1037,8.97,35.76,Economy,1.5,4.54,Peak,46.18,117,8.4,4.14,0.078
1038,13.36,26.43,Economy,1.0,4.48,Non-Peak,24.56,42,9.3,4.01,0.037
1039,22.06,52.9,Economy,1.1,5.0,Non-Peak,56.23,82,7.0,3.88,0.044
1040,21.5,74.99,Premium,1.1,4.49,Non-Peak,75.03,31,9.0,4.19,0.075
1041,2.52,14.12,Economy,1.0,4.66,Peak,25.68,79,7.9,4.95,0.027
1042,5.77,26.09,Shared,1.75,4.46,Non-Peak,27.97,42,10.9,4.54,0.048
1043,7.06,36.79,Premium,1.5,4.3,Peak,39.21,108,7.7,4.94,0.056
